delta_net_http,after_net_http,delta_subprocess_exec,after_subprocess_exec,delta_env_cred_access,after_env_cred_access,delta_filesystem,after_filesystem,delta_encoded_blob,after_encoded_blob,delta_install_hook,after_install_hook,delta_obfuscation,after_obfuscation,delta_loc,delta_char,entropy_before,entropy_after,delta_entropy,delta_longest_token,ast_nodes_after,package,ecosystem,version_after_date,label
0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,422,4.938,4.878,-0.06,0,-1,celonix-otp-react,npm,2026-05-21T16:09:37.515Z,1
0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,14,4.937,4.938,0.001,0,-1,celonix-otp-react,npm,2026-05-21T16:03:18.914Z,1
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.878,4.875,-0.003,0,-1,celonix-otp-react,npm,2026-05-21T16:14:30.794Z,1
0,4,0,0,0,0,0,0,0,0,0,0,0,0,180,3572,4.875,4.779,-0.096,0,-1,celonix-otp-react,npm,2026-05-21T16:30:18.930Z,1
0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5.15,5.15,0.0,0,-1,encrata-cli,npm,2026-05-22T06:00:30.437Z,1
0,6,0,2,0,35,0,4,0,0,0,1,0,0,-1,-28,5.561,5.561,0.0,0,-1,whatsfly_labfox,pypi,2024-09-29T12:41:13.507166Z,1
0,14,0,1,0,121,0,0,0,3,0,0,0,0,33,1644,4.381,4.381,0.0,0,-1,qaq-core-util-v2,npm,2026-05-22T06:25:39.974Z,1
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,47,4.807,4.823,0.016,0,-1,express-enrouten-async,npm,2026-05-22T18:38:58.488Z,1
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4.807,4.807,0.0,2,-1,express-enrouten-async,npm,2026-05-22T18:35:29.068Z,1
0,0,1,1,0,0,1,1,0,0,0,1,0,0,14,423,5.143,5.254,0.111,0,-1,MyMalDependency,pypi,2023-07-27T08:10:27.234262Z,1
0,3,0,1,0,3,0,3,0,2,0,1,2,2269,0,804,5.939,5.946,0.007,657,-1,finkrouter,npm,2026-05-22T10:27:02.995Z,1
-1,2,0,1,-1,2,-2,1,0,2,2,3,-55,2214,0,-1878,5.946,5.688,-0.258,1356,-1,finkrouter,npm,2026-05-27T14:45:52.697Z,1
22,1898,9,121,0,594,15,308,0,6,0,6,0,0,7001,213941,4.981,5.087,0.106,0,-1,openprompt-lang,npm,2026-05-25T05:34:26.188Z,1
0,1876,0,112,0,597,0,299,0,6,0,6,0,0,20,582,4.981,4.981,0.0,0,-1,openprompt-lang,npm,2026-05-24T00:56:27.660Z,1
0,1876,0,112,-3,594,-6,293,0,6,0,6,0,0,-1993,-69201,4.981,4.981,0.0,0,-1,openprompt-lang,npm,2026-05-24T02:26:43.280Z,1
0,1876,0,112,0,597,0,299,0,6,0,6,0,0,9,302,4.981,4.981,0.0,0,-1,openprompt-lang,npm,2026-05-24T00:35:19.668Z,1
0,1876,1,112,0,597,0,299,0,6,0,6,0,0,51,1713,4.981,4.981,0.0,0,-1,openprompt-lang,npm,2026-05-24T00:12:23.413Z,1
6,1876,5,111,19,597,14,299,0,6,0,6,0,0,140999,4174322,4.94,4.981,0.041,0,-1,openprompt-lang,npm,2026-05-23T23:34:47.086Z,1
0,1876,0,112,0,597,0,299,0,6,0,6,0,0,0,50,4.981,4.981,0.0,0,-1,openprompt-lang,npm,2026-05-24T00:20:15.709Z,1
0,1876,0,112,0,597,0,299,0,6,0,6,0,0,16,557,4.981,4.981,0.0,0,-1,openprompt-lang,npm,2026-05-24T00:30:27.433Z,1
8,1870,5,106,7,578,11,285,0,6,0,6,0,0,8627,95777,4.929,4.94,0.011,0,-1,openprompt-lang,npm,2026-05-23T23:02:48.947Z,1
0,1906,0,123,3,602,0,322,0,6,0,7,0,0,61,4100,5.067,5.067,0.0,0,-1,openprompt-lang,npm,2026-05-31T01:57:37.621Z,1
-8,1898,-5,118,-8,594,-12,310,0,6,-1,6,0,0,-4706,-133626,5.067,5.087,0.02,0,-1,openprompt-lang,npm,2026-06-05T04:27:30.187Z,1
0,0,0,0,0,0,0,0,0,40,1,1,0,0,3,67,4.624,4.624,0.0,0,-1,arjson,npm,2026-05-26T00:58:02.254Z,1
0,0,0,2,0,0,0,1,0,1,0,3,0,1,0,-8,5.135,5.119,-0.016,-8,-1,@kp-admin/history,npm,2024-09-29T00:11:18.882Z,1
0,0,0,2,0,0,0,1,0,1,0,3,0,1,0,2,5.132,5.135,0.003,2,-1,@kp-admin/history,npm,2024-09-28T23:59:36.440Z,1
0,0,0,2,0,0,0,1,0,1,0,3,0,1,0,16,5.181,5.172,-0.009,16,-1,@kp-admin/history,npm,2024-09-29T00:36:18.972Z,1
0,0,0,2,0,0,0,1,0,1,0,3,0,1,0,90,5.119,5.181,0.062,90,-1,@kp-admin/history,npm,2024-09-29T00:21:11.236Z,1
0,3,0,0,0,2,0,0,0,0,0,2,0,0,4,5,5.138,5.121,-0.017,0,-1,mcp-server-sequential-thinking,npm,2026-05-29T16:21:41.904Z,1
0,1,0,0,0,0,0,0,0,0,0,0,-10,56,0,-194,5.597,5.547,-0.05,-15,-1,vite-common-utils,npm,2026-05-27T08:51:09.846Z,1
0,1,0,0,0,0,0,0,0,0,0,0,-13,66,0,-158,5.583,5.597,0.014,23,-1,vite-common-utils,npm,2026-05-27T08:29:13.172Z,1
1,1,0,0,0,0,0,0,0,0,0,0,-3,79,0,10,5.537,5.583,0.046,-45,-1,vite-common-utils,npm,2026-05-27T07:45:28.043Z,1
